Address,Indicative Price,Bed,Bath,Car,Type,Land Size
"8 Goodia Street, Wollert",Prime Location in Wollert,4,3,2,House,361m²
"11 Bringa Drive, Mickleham",$495k - $540k,3,2,1,,
"80 Gateshead Street, Craigieburn",(NO BODY CORPORATE),3,2,2,,
"146A Elevation Boulevard, Craigieburn","$599,000",4,2,1,,
"33 Bank Street, Craigieburn","$630,000 - $660,000",4,2,8,House,841m²
"17 Corymbia Street, Mickleham","$640,000 - $680,000",4,2,2,,
"4 Fadden Place, Epping","EOI  $650,000 - $715,000",3,2,4,,
"35 Manning Clark Road, Mill Park","$620,000- $660,000",3,2,2,,
"19 Gael Court, Mernda",Private Sale,4,2,2,House,629m²
"40 Deerbrook Circuit, Wollert","$650,000 - $700,000",4,3,2,House,412m²
"2 Erica Court, Lalor","$650,000 - $715,000",4,2,4,House,571m²
"18 Nasturium Street, Kalkallo","$589,000 - $645,000 Brand New !!",4,2,2,,
"28 Cardigan Street, Donnybrook",Auction Saturday 3rd May 2025 AT 3:00PM,4,2,2,House,392m²
"3/20 Featherpark Way, Craigieburn","$539,000 - $569,000 Brand New",3,2,2,,
"14 Winding Street, Kalkallo",Brand New! Nest Or Invest!,4,2,2,,
"79 Brown Boulevard, Donnybrook",Contact Agent,4,2,2,,
"177 Yann Drive, Wollert","$640,000 -$680,000",4,2,2,,
"10A Tolson Court, Roxburgh Park","$400,000 to $440,000",3,2,1,,
"7 Lowline Way, Wollert","$585,000 - $640,000",4,2,2,,
"14 Foreshore Drive, Donnybrook","$649,000 - $679,000",4,2,2,,
"25 Albida Street, Donnybrook","$580,000 to $610,000",3,2,2,,
"13 mound av, Donnybrook",Contact Agent,4,2,2,House,263m²
"9 Mound avenue, Donnybrook","$630,000 to $650,000",4,2,2,House,263m²
"46 Monakeeba Boulevard, Woodstock",Full Turnkey Package,4,2,2,House,329m²
"80 Mortar Ridge, Mernda",STAMP DUTY SAVINGS!!!,4,2,2,,
"1 Bowman Drive, Mill Park",$650K - $699K - Must Be Sold Auct This Sat @ 12PM,3,2,4,House,647m²
"10 Titanium Street, Kalkallo","$625,000 - $687,500",4,2,2,,
"17 Pine Park Dr, Wollert",Auction Unless Sold Prior !,3,2,2,House,380m²
"59 Candy Road, Greenvale","On Site Auction: $630,000 - $670,000",3,2,1,,
"6 Cerulean Street, Wollert","$630,000 - $660,000",4,2,2,,
"10 Thurles Street, Woodstock","$595,000 - $654,500",4,2,4,,
"7 Thyridia Street, Mickleham",2 MASTERS | LUXURY LIVING,5,3,2,,
"12 Lavignon Road, Wollert",Auction 12th April @12pm,4,2,2,House,350m²
"2 Vere Way, Mickleham",A Masterpiece of Design & Comfort,4,2,2,House,460m²
"243 Newbury Boulevard, Craigieburn","$630,000 - $655,000",3,2,2,House,294m²
"12 Serenade Street, Donnybrook","$630,000 - $660,000",4,2,1,,
"16 Tomahawk Road, Wollert",$600K - $650K,4,2,2,House,336m²
"14 Xenon Road, Kalkallo","$520,000 - $560,000",3,2,1,,
"6 Prospect Road, Wollert","$650,000 - $699,000",4,2,2,,
"7 Trift Street, Craigieburn","PRIVATE SALE - $610,000 - $630,000",3,2,1,,
"9 Nasturium Street, Kalkallo",Taking Offers !!,4,2,2,,
"18 Midanbury Road, Donnybrook","$650,000 - $680,000",4,2,2,,
"11 Yucca Road, Kalkallo","$589,000-$599,000 Offers welcome",3,2,2,House,267m²
"12 Shelly Street, Donnybrook",EOI Closing By 25/04/2025 At 5:00 PM,4,2,2,,
"30 Petersfield Way, Donnybrook","MUST SELL !! $629,000 - $650,000 !!",4,2,2,,
"13 Cerulean Walk, Craigieburn",Private Sale! Taking Offers!,3,2,2,,
"13 Sesame Street, Mickleham","$590,000 - $649,000",3,2,2,,
"15 Greaves Crescent, Kalkallo",Contact Maple!,4,2,1,House,293m²
"74 Springbank Road, Wollert",Contact Agent,3,2,1,,
"3 Prosecco Street, Wollert","$590,000 - $610,000",3,2,2,,
"10 Powers Street, Mernda","$630,000 - $695,000",3,2,2,House,416m²
"11 Viola Street, Donnybrook","$560,000 - $590,000",4,2,1,,
"4 Kangaroo Road, Craigieburn",Contact Agent,4,2,2,House,350m²
"110 Arcturus Drive, Kalkallo","$580,000 - $630,000",4,2,1,,
"65 McKimmies Road, Lalor",AUCTION Sat 26 Apr 9:30am,5,2,3,House,537m²
"17 Olympic Drive, Donnybrook",Stylish & Modern Home in Prime Donnybrook Location,3,2,2,House,313m²
"21 Bloodwood Street, Kalkallo",BRAND NEW | 2 LIVINGS | 2 KITCHENS | 2 MASTERS,4,3,2,,
"5 Honeysuckle Court, Mill Park","ESR: $620,000 - $680,000",3,2,2,House,622m²
"58 Mcintyre Avenue, Roxburgh Park","PRICE GUIDE $580,000 - $630,000",3,2,2,House,541m²
"91 Juscelina Drive, Craigieburn","$450,000 - $480,000",3,2,2,,
"15 Nasturium Street, Kalkallo","$624,900",3,2,2,House,294m²
"54 Farm Crescent, Donnybrook",Contact Arvin Nagra 0402 713 612,4,2,2,,
"12 Kooyongkoot Drive, Mickleham","$619,000 - $669,000 Brand New !!",4,2,2,House,265m²
"48 Simmental Road, Wollert","$600,000 - $660,000",4,2,2,,
"34 Samolus Street, Mickleham","Stunning Family Home, Top Inclusion!!!",4,2,2,,
"12 Westwood Drive, Mill Park",$645K - $695K - Auction Sat 26th April @ 12PM,4,2,2,,
"18 Greig Drive, Mernda","$619,950",3,2,1,House,272m²
"96A Sunset Boulevard, Jacana","$480,000 - $520,000",3,2,2,House,368m²
"8 Conebush Street, Kalkallo",$560k - $590k,4,2,2,House,350m²
"115 Moor Park Drive, Craigieburn","$550,000 - $605,000",3,2,1,House,336m²
"8 Macarthur Way, Mickleham","$599,000 - $650,000",4,2,2,House,392m²
"20 Zinnober Gardens, Epping","$615,000 - $630,000",3,2,2,,
"5 Curbridge Drive, Donnybrook","NEW: $599,000",4,3,2,House,268m²
"4 Ardbaun Street, Woodstock",Contact Agent,4,2,2,,
"2 Ardbaun Street, Woodstock",Contact Agent,4,2,2,,
"78 Hawkesbury Drive, Donnybrook",Private Sale - Owner Says Sell This Week!,3,2,1,,
"56 Sumar Drive, Mickleham","$550,000 - $580,000",3,2,2,,
"15 Reminis Drive, Donnybrook",Contact Agent !!,3,2,1,House,231m²
"40 Bridgewater Road, Craigieburn","AUCTION ESR $590,000 - $649,000",4,2,2,House,651m²
"13 Mound Avenue, Donnybrook","$630,000 - $650,000",4,2,2,,
"18 Herridge Street, Mickleham","$580,000 - $620,000",3,2,2,House,313m²
"11 Prosecco Street, Wollert","$590,000 - $610,000",3,2,2,,
"4 Firewheel Road, Kalkallo",Auction Saturday 26th April 2025 AT 3:00PM,3,2,2,,
"12 Waverley Court, Craigieburn","$650,000 - $680,000",4,2,4,House,655m²
"43 Ginger Crescent, Mickleham",$580k - $630k,4,2,4,House,399m²
"38 Roycroft Avenue, Mill Park","RESERVE PRICE- $650,000 - AUCTION THIS SAT @ 1PM!",5,2,2,House,566m²
"9 Parker Court, Roxburgh Park",Contact Agent,3,2,1,,
"22 Scandia Drive, Mickleham","$590,000 - $630,000",4,2,2,House,392m²
"21 Firnberg Road, Kalkallo",$595k to $625k,3,2,2,,
"8 Guernsey Street, Donnybrook",BRAND NEW,3,2,1,,
"29 Norman Road, Donnybrook","$580,000-$590,000 Vendor keen to Sell",3,2,2,House,279m²
