Price,Address,Property Type,Beds,Baths,Car,Inspection Time,Sold Date,Agent,Number of listings
"$600,000 - $660,000","6 Pennine Circuit, Officer",House,3,2,2,,,Gavin Staindl,51-75 of 574 properties
"$ 600,000 to $ 650,000","14 Bradley Court, Hampton Park",House,3,2,2,,,Rohullah Naim,51-75 of 574 properties
,"11 CRADLE AVENUE, Clyde",House,3,2,2,,,Disha Sachdeva,51-75 of 574 properties
"$570,000 - $600,000","38 Ayesha Rise, Pakenham",House,3,2,3,,,Najeeb Olomi,51-75 of 574 properties
"$600,000 - $660,000","18 Discovery Street, Pakenham",House,3,2,2,,,Gavin Staindl,51-75 of 574 properties
,"57 Fallingwater Drive, Pakenham",House,3,2,2,,,Cooper Sheppard,51-75 of 574 properties
"$539,000 - $559,000","1 Orchard Court, Drouin",House,3,2,2,,,Natalie Hodge,51-75 of 574 properties
"$620,000-$680,000","88 Police Road, Springvale",House,3,2,2,,,Chris Zhang,51-75 of 574 properties
"$599,000-$658,000! Must Inspect!","20 Pamplona Way, Clyde North",House,3,2,1,,,Aseem Jhanji,51-75 of 574 properties
"$640,000 - $699,000  - BRAND NEW + $10,000 FHBG","5 Valberg Way, Pakenham",House,4,2,1,,,Vitaldi Cooray,51-75 of 574 properties
"$580,000 - $638,000","22 Tassell Drive, Warragul",House,4,3,2,,,Tahnee Morgan,51-75 of 574 properties
"$600,000 - $660,000","27 Bollen Way, Koo Wee Rup",House,3,2,2,,,Amanda Claridge,51-75 of 574 properties
"$599,000 - $658,000","380 Rix Road, Beaconsfield",House,3,3,2,,,Sherman Buca-Salvador,51-75 of 574 properties
"$640,000 - $704,000","24 Wilkiea Crescent, Cranbourne North",House,4,2,2,Inspection Wed 18 Dec 6:00 pm,,Habib Sultani,76-100 of 574 properties
"$620,000-$660,000","31 Salvia Avenue, Pakenham",House,4,2,2,,,Daniel Exposito,76-100 of 574 properties
,"8 Featherflower Way, Officer",House,3,2,2,,,Sam Noorbakhsh,76-100 of 574 properties
"$580,000 - $638,000","2 Chaucer Way, Drouin",House,4,2,2,,,Candice Hill,76-100 of 574 properties
"NEW LOTS FROM $361,900!!!","164 Army Road, Pakenham",Other,3,2,2,,,Metin Aziret,76-100 of 574 properties
"$640,000 - $700,000","27 McEwan Drive, Cranbourne East",House,3,2,2,,,Sorush Nazari,76-100 of 574 properties
"$650,000 - $699,000","30 Meadows Drive, Officer",House,3,2,1,,,Liza Hickey,76-100 of 574 properties
"$595,000 - $645,000","82 Cook Street, Drouin",House,4,2,2,,,Elise Davidson,76-100 of 574 properties
"$590,000 - $639,000","35 Edgar Avenue, Cranbourne South",House,3,2,1,,,Aarryn Cooper,76-100 of 574 properties
"$625,000 to $687,500","21A Tarata Drive, Doveton",House,4,2,2,,,Daniel Farrugia,76-100 of 574 properties
"$650,000 - $715,000","2 Trewin Court, Narre Warren",House,4,2,2,,,Kylah Fruend,76-100 of 574 properties
"$650,000 $715,000","44 Walker Drive, Drouin",House,4,2,2,,,Jason Dowler,76-100 of 574 properties
"$640,000 - $685,000","113 Billy Buttons Drive, Narre Warren",House,3,2,2,,,Vincent Lim,76-100 of 574 properties
"$540,000 - $590,000","2/47 Upton Crescent, Narre Warren",House,3,2,2,,,Kylah Fruend,76-100 of 574 properties
"$567,094","Lot 4905 Willey Road, Clyde North",House,3,2,1,,,Alex Noulas,76-100 of 574 properties
"$599,000 - $658,000 AUCTION THIS SATURDAY @ 4:30PM","29 Tamarind Road, Cranbourne North",House,4,2,1,,,Param Jandawar,76-100 of 574 properties
,"11 Emanda Lane, Clyde North",House,3,2,2,,,Dilshan Wijerathna,76-100 of 574 properties
"$649,000 - $699,000","22 Ironstone Street, Cranbourne East",House,4,2,2,,,Karan Singh,76-100 of 574 properties
"$550,000 - $590,000","116 Henry Street, Pakenham",House,3,2,2,,,Gavin Staindl,76-100 of 574 properties
"$600,000 - $660,000","9 Hillgrove Close, Warragul",House,4,2,2,,,Brad Townsend,76-100 of 574 properties
$650K - $700K! NEW & FULLY UPGRADED,"17 Amadeus Street, Clyde",House,4,2,2,,,Vas Selvaraj,76-100 of 574 properties
"$590,000 - $649,000","4 Grevillea Street, Doveton",House,3,2,1,,,Mohammad Shafai,76-100 of 574 properties
"$619,000 - $669,000","51 Benoit Circuit, Clyde North",House,3,2,1,,,Raj Kumar,76-100 of 574 properties
"$480,000 - $520,000","15/1 Eades Street, Officer",House,3,2,1,,,Liza Hickey,101-125 of 574 properties
"$560,000 - $615,000","3 John Street, Koo Wee Rup",House,3,2,2,,,Mark Sewell,101-125 of 574 properties
"$600,000 - $660,000","30 Kooyong Close, Officer",House,3,2,2,,,Gavin Staindl,101-125 of 574 properties
,"6 Masterton Place, Cranbourne East",House,3,2,4,Inspection Tue 17 Dec 6:00 pm,,Leon D'Penha,101-125 of 574 properties
"$600,000 - $660,000","5 Palladium Boulevard, Drouin",House,4,2,2,,,Matt Smith,101-125 of 574 properties
"$640,000 - $680,000","35 Macquarie Circuit, Pakenham",House,4,2,2,Inspection Tue 17 Dec 3:45 pm,,Peter Diamantakis,101-125 of 574 properties
"$599,900 - FULL TURNKEY INCLUSIONS","Lot 213 Creek Circuit, Pakenham",House,4,2,2,,,Jon Terolli,101-125 of 574 properties
"$600,000 - $660,000","26 Bollen Way, Koo Wee Rup",House,3,2,2,Inspection Wed 18 Dec 6:30 pm,,Stephen Marsh,101-125 of 574 properties
"$650,000 - $715,000","23 Bollen Way, Koo Wee Rup",House,4,2,3,,,Mark Sewell,101-125 of 574 properties
"$650,000 - $715,000","9 Leonard Court, Pakenham",House,4,2,2,,,Peter Blackwood,101-125 of 574 properties
"$620,000 - $680,000","11 Austen Avenue, Officer",House,3,2,1,,,Liza Hickey,101-125 of 574 properties
"$640,000-$680,000 Forthcoming Auction","65 Rosslyn Avenue, Seaford",House,3,2,2,,,Daniel Keleher,101-125 of 574 properties
"$520,000 to $572,000","10 Balladonia Gum Circuit, Lyndhurst",House,4,2,2,,,Khaled Arabzadeh,101-125 of 574 properties
"$645,000 - $695,000","18 Caspian Chase, Pakenham",House,4,2,2,,,Andrew Carlow,101-125 of 574 properties
"$599,000 - $639,000","79 Eagle Drive, Pakenham",House,3,2,2,,,Sam Visca,101-125 of 574 properties
"$650,000 - $695,000","44a John Street, Pakenham",House,3,2,2,,,Damien St Louis,101-125 of 574 properties
"$580,000 to $ 620,000","4 Marquis Court, Pakenham",House,3,2,4,,,Tadesse Jarra Berisso,101-125 of 574 properties
"$620,000 - $660,000","4A Ti-Tree Drive, Doveton",House,3,2,4,,,Dez Mujcic,101-125 of 574 properties
"$650,000 to $695,000","14 Tekarra Drive, Hampton Park",House,3,2,2,,,Khaled Arabzadeh,101-125 of 574 properties
"$650,000 - $695,000","21 Victoria Place, Pakenham",House,4,2,2,,,Matt Clark,101-125 of 574 properties
"$520,000 - $572,000","1 Arnica Close, Hampton Park",House,3,2,2,,,Javid Zada,101-125 of 574 properties
"$649,000","21 Golden Avenue, Warragul",House,4,2,2,,,Geoff Quirk,101-125 of 574 properties
"$620,000 - $660,000","8  Birch Court, Warragul",House,4,2,2,,,Clare Rocke,101-125 of 574 properties
"$630,000-$693,000 - Corner Block.","5 Valley Road, Frankston",House,3,2,2,,,Luke Magree,101-125 of 574 properties
"$600,000 - $660,000","29A Scotsburn Way, Endeavour Hills",House,3,2,1,Inspection Tue 17 Dec 5:30 pm,,Rohin Arora,101-125 of 574 properties
"$650,000 - $715,000","8 Hopkins Street, Clyde",House,4,2,2,,,Isha Dhillon,126-150 of 574 properties
"$630,000 to $650,000","40 Pepper Crescent, Drouin",House,4,2,2,,,Stuart Brock,126-150 of 574 properties
"$595,000 - $635,000","42 Sienna Way, Pakenham",House,3,2,2,,,Andrew Carlow,126-150 of 574 properties
"$580,000 - $620,000","8 Brodie Mews, Beaconsfield",House,3,2,1,Inspection tomorrow 5:00 pm,,Lily Young,126-150 of 574 properties
"$565,000 - $620,000 - BY APPOINTMENT ONLY","6 Angus Court, Pakenham",House,3,2,1,,,Stacey Woodfield,126-150 of 574 properties
"$590,000 - $640,000","6 Weir Terrace, Officer",House,4,2,1,,,Gavin Staindl,126-150 of 574 properties
,"17 Botham Crescent, Pakenham",House,4,2,2,,,Pardeep Singh,126-150 of 574 properties
