"City of Darebin, Households renting social housing, 2021, Enumerated,Percentage of: Total households",
"SA1","Number","Percent (%)","Households",
"20902142913","5","3.1%","161",
"20902142914","0","0.0%","185",
"20902142915","9","5.6%","162",
"20902142916","56","22.2%","252",
"20902142917","0","0.0%","196",
"20902142918","0","0.0%","184",
"20902142919","6","2.0%","301",
"20902142920","26","10.0%","260",
"20902142921","0","0.0%","224",
"20902142922","0","0.0%","215",
"20902142923","0","0.0%","193",
"20902142924","4","2.5%","157",
"20902142925","4","3.3%","123",
"20902152301","0","0.0%","159",
"20902152302","5","2.5%","203",
"20902152303","0","0.0%","151",
"20902152304","0","0.0%","127",
"20902152305","65","27.0%","241",
"20902152306","0","0.0%","276",
"20902152307","0","0.0%","238",
"20902152308","0","0.0%","267",
"20902152309","45","16.5%","272",
"20902152310","0","0.0%","158",
"20902152311","9","4.7%","193",
"20902152312","12","4.4%","270",
"20902152313","0","0.0%","210",
"20902152314","5","2.4%","208",
"20902152315","72","23.8%","303",
"20902152316","7","3.6%","197",
"20902152317","0","0.0%","196",
"20902152318","3","1.1%","273",
"20902152319","24","9.1%","264",
"20902152320","15","7.6%","198",
"20902152321","7","3.6%","192",
"20902152322","3","1.3%","224",
"20902152323","0","0.0%","158",
"20902152324","0","0.0%","181",
"20902152325","13","8.1%","161",
"20902152326","8","4.2%","190",
"20902152327","33","10.5%","315",
"20902152328","30","13.3%","225",
"20902152329","0","0.0%","125",
"20902152330","3","1.4%","219",
"20902152401","0","0.0%","114",
"20902152402","3","2.0%","151",
"20902152403","0","0.0%","116",
"20902152404","0","0.0%","126",
"20902152405","17","8.6%","198",
"20902152406","0","0.0%","172",
"20902152407","3","1.4%","208",
"20902152408","3","1.7%","177",
"20902152409","7","17.1%","41",
"20902152410","0","0.0%","217",
"20902152411","0","0.0%","126",
"20902152413","0","0.0%","166",
"20902152414","0","0.0%","150",
"20902152415","3","1.5%","201",
"20902152416","0","0.0%","183",
"20902152417","0","0.0%","183",
"20902152418","0","0.0%","121",
"20902152419","0","0.0%","188",
"20902152420","0","0.0%","107",
"20902152421","7","6.7%","104",
"20902152422","0","0.0%","111",
"20902152423","3","2.1%","143",
"20902152424","0","0.0%","162",
"20902152425","0","0.0%","156",
"20902152501","0","0.0%","164",
"20902152502","0","0.0%","226",
"20902152503","20","8.1%","248",
"20902152504","26","12.1%","214",
"20902152505","8","6.8%","118",
"20902152506","0","0.0%","142",
"20902152507","0","0.0%","143",
"20902152508","12","6.0%","201",
"20902152509","142","48.8%","291",
"20902152510","4","2.0%","204",
"20902152511","0","0.0%","152",
"20902152512","17","7.6%","225",
"20902152513","5","2.8%","176",
"20902152514","26","9.4%","277",
"20902152515","46","19.8%","232",
"20902152516","5","3.0%","164",
"20902152517","9","4.2%","215",
"20902152518","0","0.0%","228",
"20902152519","0","0.0%","155",
"20902152520","19","17.9%","106",
"20902152521","0","0.0%","208",
"20902152522","34","19.1%","178",
"20902152523","0","0.0%","199",
"20902152524","45","19.7%","228",
"20902152525","11","6.1%","179",
"20902152526","33","16.4%","201",
"20902152527","9","4.8%","186",
"20902152528","0","0.0%","157",
"20902152601","3","1.5%","197",
"20902152602","0","0.0%","148",
"20902152603","0","0.0%","170",
"20902152604","6","2.9%","204",
"20902152605","4","1.6%","243",
"20902152606","3","1.3%","238",
"20902152607","0","0.0%","163",
"20902152608","10","4.9%","205",
"20902152609","0","0.0%","127",
"20902152610","3","2.8%","109",
"20902152611","3","1.4%","219",
"20902152612","0","0.0%","164",
"20902152613","0","0.0%","211",
"20902152615","5","1.7%","295",
"20902152616","5","2.0%","256",
"20902152617","3","1.2%","258",
"20902152618","18","8.1%","221",
"20902152619","0","0.0%","50",
"20902152620","0","0.0%","136",
"20902152622","0","0.0%","224",
"20902152623","28","15.1%","185",
"20902152624","0","0.0%","146",
"20902152625","0","0.0%","186",
"20902152627","3","1.6%","183",
"20902152628","5","1.9%","263",
"20902152629","0","0.0%","126",
"20902152630","3","1.2%","258",
"20902152631","3","1.6%","192",
"20902152632","11","4.9%","225",
"20902152633","7","2.6%","274",
"Source: Australian Bureau of Statistics, Census of Population and Housing, 2021 (Enumerated data). Compiled and presented in atlas.id by .id (informed decisions). Note: Due to changes in the ABS rules regarding perturbation of small numbers to protect the confidentiality of individuals in 2016, the totals of all SA1s in an area may not equal the total derived from the area as a whole.",
