"Hume City, Households renting social housing, 2021, Enumerated,Percentage of: Total households",
"SA1","Number","Percent (%)","Households",
"21004154124","0","0.0%","136",
"21004154125","0","0.0%","195",
"21004154126","0","0.0%","199",
"21005124201","3","1.3%","237",
"21005124202","15","10.8%","139",
"21005124203","8","4.1%","196",
"21005124204","4","2.1%","194",
"21005124205","39","13.6%","286",
"21005124206","58","27.1%","214",
"21005124207","36","21.7%","166",
"21005124208","50","18.9%","264",
"21005124209","25","11.7%","213",
"21005124210","47","22.7%","207",
"21005124211","28","16.4%","171",
"21005124212","0","0.0%","312",
"21005124213","5","2.3%","221",
"21005124214","8","6.1%","131",
"21005124215","9","3.0%","298",
"21005124216","4","8.2%","49",
"21005124217","3","2.5%","121",
"21005124218","8","3.4%","235",
"21005124219","94","65.3%","144",
"21005124220","0","0.0%","134",
"21005124221","0","0.0%","112",
"21005124222","0","0.0%","148",
"21005124223","45","77.6%","58",
"21005124224","18","10.4%","173",
"21005124225","47","22.0%","214",
"21005124227","18","16.4%","110",
"21005124301","16","13.3%","120",
"21005124302","5","7.9%","63",
"21005124303","0","0.0%","12",
"21005124305","0","0.0%","161",
"21005124306","0","0.0%","150",
"21005124307","0","0.0%","65",
"21005124308","11","8.7%","126",
"21005124309","0","0.0%","122",
"21005124310","0","0.0%","112",
"21005124311","3","3.2%","93",
"21005124312","19","11.7%","162",
"21005124313","8","10.0%","80",
"21005124314","5","2.4%","212",
"21005124315","0","0.0%","92",
"21005124316","0","0.0%","104",
"21005124317","12","7.5%","161",
"21005124318","0","0.0%","182",
"21005124319","0","0.0%","141",
"21005124320","8","3.6%","225",
"21005124321","0","0.0%","206",
"21005124323","6","3.4%","178",
"21005124324","6","7.8%","77",
"21005124325","3","2.2%","136",
"21005124326","7","5.4%","129",
"21005124327","9","5.5%","163",
"21005124328","4","2.5%","163",
"21005124329","20","11.9%","168",
"21005124330","0","0.0%","106",
"21005124331","0","0.0%","72",
"21005124332","0","0.0%","70",
"21005124333","13","6.8%","190",
"21005124334","8","7.1%","113",
"21005124335","0","0.0%","135",
"21005124336","3","2.1%","146",
"21005124337","10","8.8%","114",
"21005124338","0","0.0%","75",
"21005124339","0","0.0%","84",
"21005124340","6","5.0%","119",
"21005124341","17","13.6%","125",
"21005124342","0","0.0%","86",
"21005124343","0","0.0%","122",
"21005124344","11","10.3%","107",
"21005124501","0","0.0%","190",
"21005124502","0","0.0%","144",
"21005124503","0","0.0%","111",
"21005124504","9","8.0%","112",
"21005124505","20","13.2%","152",
"21005124506","0","0.0%","159",
"21005124507","16","12.0%","133",
"21005124508","0","0.0%","157",
"21005124509","0","0.0%","101",
"21005124510","0","0.0%","170",
"21005124511","0","0.0%","165",
"21005124512","0","0.0%","121",
"21005124513","0","0.0%","176",
"21005124514","0","0.0%","227",
"21005124515","7","4.7%","149",
"21005124516","0","0.0%","108",
"21005124517","0","0.0%","132",
"21005124518","0","0.0%","144",
"21005124519","0","0.0%","116",
"21005124520","0","0.0%","72",
"21005124521","0","0.0%","100",
"21005124522","0","0.0%","79",
"21005124523","0","0.0%","209",
"21005124524","0","0.0%","127",
"21005124525","3","3.1%","96",
"21005124526","0","0.0%","193",
"21005124527","0","0.0%","95",
"21005124528","0","0.0%","222",
"21005124529","0","0.0%","130",
"21005124531","27","11.8%","228",
"21005124533","0","0.0%","107",
"21005124538","35","15.9%","220",
"21005124539","0","0.0%","152",
"21005124540","0","0.0%","193",
"21005124541","0","0.0%","198",
"21005124542","0","0.0%","162",
"21005124543","0","0.0%","153",
"21005124544","0","0.0%","70",
"21005124545","0","0.0%","79",
"21005124546","0","0.0%","190",
"21005124547","0","0.0%","128",
"21005124548","0","0.0%","138",
"21005124550","0","0.0%","192",
"21005124551","6","5.5%","109",
"21005124552","59","22.7%","260",
"21005124553","0","0.0%","97",
"21005124601","0","0.0%","182",
"21005124602","0","0.0%","180",
"21005124603","0","0.0%","127",
"21005124604","0","0.0%","100",
"21005124605","0","0.0%","100",
